,Area,Element,Item,Unit,Value,kg_per_animal,animal
21993,Liberia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1250.0,125.0,cattle
21996,Liberia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8393.0,0.8393,chicken
21999,Liberia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,10215.0,1.0215,duck
22002,Liberia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,90.0,9.0,goat
22005,Liberia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,400.0,40.0,pig
22008,Liberia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,103.0,10.3,sheep
22173,Libya,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2994.0,299.4,"Meat of camels, fresh or chilled"
22176,Libya,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2004.0,200.4,cattle
22179,Libya,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11701.0,1.1701000000000001,chicken
22182,Libya,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,132.0,13.2,goat
22185,Libya,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,150.0,15.0,sheep
22373,Lithuania,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2752.0,275.2,cattle
22376,Lithuania,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18163.0,1.8163000000000002,chicken
22381,Lithuania,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,144.0,14.4,goat
22384,Lithuania,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,830.0,83.0,pig
22387,Lithuania,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,197.0,19.7,sheep
22588,Luxembourg,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3666.0,366.6,cattle
22595,Luxembourg,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,278.0,27.8,goat
22598,Luxembourg,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,855.0,85.5,pig
22601,Luxembourg,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,191.0,19.1,sheep
22835,Madagascar,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1750.0,175.0,horse
22857,Madagascar,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1096.0,109.6,cattle
22860,Madagascar,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
22863,Madagascar,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,20000.0,2.0,duck
22866,Madagascar,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,30000.0,3.0,"Meat of geese, fresh or chilled"
22869,Madagascar,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,181.0,18.1,goat
22872,Madagascar,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,699.0,69.9,pig
22875,Madagascar,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,12000.0,1.2,"Meat of rabbits and hares, fresh or chilled"
22878,Madagascar,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,184.0,18.4,sheep
22881,Madagascar,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,30000.0,3.0,"Meat of turkeys, fresh or chilled"
23117,Malawi,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1071.0,107.1,cattle
23120,Malawi,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,30016.0,3.0016000000000003,chicken
23123,Malawi,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,85.0,8.5,goat
23126,Malawi,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,277.0,27.7,pig
23129,Malawi,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,107.0,10.7,sheep
23369,Malaysia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1200.0,120.0,horse
23388,Malaysia,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,4500.0,450.0,buffalo
23391,Malaysia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2577.0,257.7,cattle
23394,Malaysia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19858.0,1.9858000000000002,chicken
23397,Malaysia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,30541.0,3.0541000000000005,duck
23400,Malaysia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,350.0,35.0,goat
23403,Malaysia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,1029.0,102.9,pig
23406,Malaysia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,500.0,50.0,sheep
23676,Mali,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1000.0,100.0,horse
23698,Mali,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,600.0,60.0,"Meat of asses, fresh or chilled"
23701,Mali,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1927.0,192.7,"Meat of camels, fresh or chilled"
23704,Mali,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1151.0,115.1,cattle
23707,Mali,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7474.0,0.7474000000000001,chicken
23710,Mali,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,116.0,11.6,goat
23713,Mali,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,432.0,43.2,pig
23716,Mali,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,146.0,14.6,sheep
23906,Malta,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2773.0,277.3,cattle
23909,Malta,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15941.0,1.5941,chicken
23914,Malta,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,143.0,14.3,goat
23917,Malta,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,865.0,86.5,pig
23920,Malta,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,250.0,25.0,sheep
24058,Mauritania,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1468.0,146.8,horse
24065,Mauritania,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,1201.0,120.1,"Meat of asses, fresh or chilled"
24068,Mauritania,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1976.0,197.6,"Meat of camels, fresh or chilled"
24071,Mauritania,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1303.0,130.3,cattle
24074,Mauritania,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,6496.0,0.6496000000000001,chicken
24077,Mauritania,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,161.0,16.1,goat
24082,Mauritania,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,165.0,16.5,sheep
24228,Mauritius,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2682.0,268.2,cattle
24231,Mauritius,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11243.0,1.1242999999999999,chicken
24234,Mauritius,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,15422.0,1.5422,duck
24237,Mauritius,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,25000.0,2.5,"Meat of geese, fresh or chilled"
24240,Mauritius,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,154.0,15.4,goat
24243,Mauritius,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,660.0,66.0,pig
24246,Mauritius,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,16783.0,1.6783000000000001,"Meat of rabbits and hares, fresh or chilled"
24249,Mauritius,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,205.0,20.5,sheep
24252,Mauritius,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,35000.0,3.5,"Meat of turkeys, fresh or chilled"
24482,Mexico,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1300.0,130.0,horse
24513,Mexico,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2510.0,251.0,cattle
24516,Mexico,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18256.0,1.8256000000000001,chicken
24519,Mexico,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,179.0,17.9,goat
24522,Mexico,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,828.0,82.8,pig
24525,Mexico,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,10000.0,1.0,"Meat of rabbits and hares, fresh or chilled"
24528,Mexico,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,206.0,20.6,sheep
24531,Mexico,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,56566.0,5.6566,"Meat of turkeys, fresh or chilled"
24787,Micronesia (Federated States of),Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1372.0,137.2,cattle
24790,Micronesia (Federated States of),Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7980.0,0.798,chicken
24795,Micronesia (Federated States of),Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,110.0,11.0,goat
24798,Micronesia (Federated States of),Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,300.0,30.0,pig
24882,Mongolia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1262.0,126.2,horse
24886,Mongolia,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2147.0,214.7,"Meat of camels, fresh or chilled"
24889,Mongolia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1283.0,128.3,cattle
24892,Mongolia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16877.0,1.6877,chicken
24895,Mongolia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,141.0,14.1,goat
24898,Mongolia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,284.0,28.4,pig
24901,Mongolia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,184.0,18.4,sheep
25030,Montenegro,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2090.0,209.0,cattle
25033,Montenegro,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,5699.0,0.5699,chicken
25036,Montenegro,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,127.0,12.7,goat
25039,Montenegro,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,1214.0,121.4,pig
25042,Montenegro,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,371.0,37.1,sheep
25267,Morocco,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1263.0,126.3,horse
25297,Morocco,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1728.0,172.8,"Meat of camels, fresh or chilled"
25300,Morocco,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2781.0,278.1,cattle
25303,Morocco,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7166.0,0.7166,chicken
25306,Morocco,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,128.0,12.8,goat
25309,Morocco,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,498.0,49.8,pig
25312,Morocco,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,128.0,12.8,sheep
25315,Morocco,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,53493.0,5.3493,"Meat of turkeys, fresh or chilled"
25577,Mozambique,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1400.0,140.0,cattle
25580,Mozambique,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,36269.0,3.6269,chicken
25583,Mozambique,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,12590.0,1.259,duck
25586,Mozambique,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,150.0,15.0,goat
25589,Mozambique,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,853.0,85.3,pig
25592,Mozambique,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,10468.0,1.0468,"Meat of rabbits and hares, fresh or chilled"
25595,Mozambique,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,150.0,15.0,sheep
25793,Myanmar,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1385.0,138.5,buffalo
25796,Myanmar,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,995.0,99.5,cattle
25799,Myanmar,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,13251.0,1.3251000000000002,chicken
25802,Myanmar,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,11074.0,1.1074000000000002,duck
25805,Myanmar,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,14000.0,1.4,"Meat of geese, fresh or chilled"
25808,Myanmar,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,60.0,6.0,goat
25811,Myanmar,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,653.0,65.3,pig
25814,Myanmar,Yield/Carcass Weight,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",0.1,1500.0,0.15,pig
25817,Myanmar,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,60.0,6.0,sheep
25996,Namibia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2733.0,273.3,cattle
25999,Namibia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8149.0,0.8149000000000001,chicken
26002,Namibia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,122.0,12.2,goat
26005,Namibia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,559.0,55.9,pig
26008,Namibia,Yield/Carcass Weight,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",0.1,500000.0,50.0,pig
26011,Namibia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,142.0,14.2,sheep
26107,Nauru,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
26110,Nauru,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,300.0,30.0,pig
26239,Nepal,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,2895.0,289.5,buffalo
26242,Nepal,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8910.0,0.891,chicken
26245,Nepal,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,7866.0,0.7866000000000001,duck
26248,Nepal,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,105.0,10.5,goat
26251,Nepal,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,478.0,47.8,pig
26254,Nepal,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,99.0,9.9,sheep
26461,Netherlands (Kingdom of the),Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1999.0,199.9,cattle
26464,Netherlands (Kingdom of the),Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16688.0,1.6688000000000003,chicken
26467,Netherlands (Kingdom of the),Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,130.0,13.0,goat
26470,Netherlands (Kingdom of the),Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,994.0,99.4,pig
26473,Netherlands (Kingdom of the),Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,239.0,23.9,sheep
26629,New Caledonia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2194.0,219.4,cattle
26632,New Caledonia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14218.0,1.4218000000000002,chicken
26635,New Caledonia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,108.0,10.8,goat
26638,New Caledonia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,868.0,86.8,pig
26641,New Caledonia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,107.0,10.7,sheep
26819,New Zealand,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1585.0,158.5,cattle
26822,New Zealand,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18305.0,1.8305,chicken
26825,New Zealand,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,18001.0,1.8001,duck
26828,New Zealand,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,40000.0,4.0,"Meat of geese, fresh or chilled"
26831,New Zealand,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,112.0,11.2,goat
26834,New Zealand,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,712.0,71.2,pig
26837,New Zealand,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,202.0,20.2,sheep
26840,New Zealand,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,50000.0,5.0,"Meat of turkeys, fresh or chilled"
27030,Nicaragua,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1237.0,123.7,horse
27037,Nicaragua,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1898.0,189.8,cattle
27040,Nicaragua,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,22912.0,2.2912000000000003,chicken
27043,Nicaragua,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,160.0,16.0,goat
27046,Nicaragua,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,495.0,49.5,pig
27049,Nicaragua,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,120.0,12.0,sheep
27217,Niger,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1300.0,130.0,horse
27233,Niger,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,892.0,89.2,"Meat of asses, fresh or chilled"
27236,Niger,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2805.0,280.5,"Meat of camels, fresh or chilled"
27239,Niger,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2618.0,261.8,cattle
27242,Niger,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8000.0,0.8,chicken
27247,Niger,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,225.0,22.5,goat
27250,Niger,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,450.0,45.0,pig
27253,Niger,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,285.0,28.5,sheep
27442,Nigeria,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,992.0,99.2,cattle
27445,Nigeria,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11755.0,1.1755,chicken
27448,Nigeria,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,99.0,9.9,goat
27451,Nigeria,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,450.0,45.0,pig
27454,Nigeria,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,78.0,7.8,sheep
27594,Niue,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1769.0,176.9,cattle
27597,Niue,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10366.0,1.0366000000000002,chicken
27600,Niue,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,673.0,67.3,pig
27739,North Macedonia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2639.0,263.9,cattle
27742,North Macedonia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,6906.0,0.6906,chicken
27749,North Macedonia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,774.0,77.4,pig
27752,North Macedonia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,159.0,15.9,sheep
27949,Norway,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2632.0,263.2,horse
27959,Norway,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2905.0,290.5,cattle
27962,Norway,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,14602.0,1.4602,chicken
27965,Norway,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,24063.0,2.4063000000000003,duck
27969,Norway,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,162.0,16.2,goat
27972,Norway,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,870.0,87.0,pig
27975,Norway,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,19700.0,1.97,"Meat of rabbits and hares, fresh or chilled"
27978,Norway,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,202.0,20.2,sheep
27981,Norway,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,93292.0,9.3292,"Meat of turkeys, fresh or chilled"
28131,Oman,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,2098.0,209.8,"Meat of camels, fresh or chilled"
28134,Oman,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1248.0,124.8,cattle
28137,Oman,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,7988.0,0.7988000000000001,chicken
28140,Oman,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,238.0,23.8,goat
28143,Oman,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,299.0,29.9,sheep
28341,Pakistan,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1419.0,141.9,buffalo
28344,Pakistan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1200.0,120.0,"Meat of camels, fresh or chilled"
28347,Pakistan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1301.0,130.1,cattle
28350,Pakistan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11768.0,1.1767999999999998,chicken
28353,Pakistan,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,13000.0,1.3,duck
28356,Pakistan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,117.0,11.7,goat
28359,Pakistan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,163.0,16.3,sheep
28646,Palestine,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2512.0,251.2,cattle
28649,Palestine,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16447.0,1.6447,chicken
28652,Palestine,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,253.0,25.3,goat
28655,Palestine,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,290.0,29.0,sheep
28870,Panama,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2181.0,218.1,cattle
28873,Panama,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,16161.0,1.6161,chicken
28876,Panama,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,502.0,50.2,pig
29020,Papua New Guinea,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1500.0,150.0,horse
29027,Papua New Guinea,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1404.0,140.4,cattle
29030,Papua New Guinea,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,9158.0,0.9158000000000001,chicken
29033,Papua New Guinea,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,10000.0,1.0,duck
29036,Papua New Guinea,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,146.0,14.6,goat
29039,Papua New Guinea,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,410.0,41.0,pig
29042,Papua New Guinea,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,150.0,15.0,sheep
29045,Papua New Guinea,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,13823.0,1.3823,"Meat of turkeys, fresh or chilled"
29217,Paraguay,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1140.0,114.0,horse
29233,Paraguay,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2244.0,224.4,cattle
29236,Paraguay,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10000.0,1.0,chicken
29239,Paraguay,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,13000.0,1.3,duck
29242,Paraguay,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,20676.0,2.0676,"Meat of geese, fresh or chilled"
29245,Paraguay,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,94.0,9.4,goat
29248,Paraguay,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,999.0,99.9,pig
29251,Paraguay,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,146.0,14.6,sheep
29254,Paraguay,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,30214.0,3.0214000000000003,"Meat of turkeys, fresh or chilled"
29544,Peru,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1464.0,146.4,cattle
29547,Peru,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,22421.0,2.2420999999999998,chicken
29550,Peru,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,126.0,12.6,goat
29553,Peru,Yield/Carcass Weight,"Meat of other domestic camelids, fresh or chilled",100,281.0,28.1,"Meat of other domestic camelids, fresh or chilled"
29556,Peru,Yield/Carcass Weight,"Meat of other domestic rodents, fresh or chilled",0.1,2525.0,0.2525,"Meat of other domestic rodents, fresh or chilled"
29559,Peru,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,525.0,52.5,pig
29562,Peru,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,11964.0,1.1964000000000001,"Meat of rabbits and hares, fresh or chilled"
29565,Peru,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,129.0,12.9,sheep
29851,Philippines,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,968.0,96.8,horse
29870,Philippines,Yield/Carcass Weight,"Meat of buffalo, fresh or chilled",100,1427.0,142.7,buffalo
29873,Philippines,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1339.0,133.9,cattle
29876,Philippines,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12008.0,1.2007999999999999,chicken
29879,Philippines,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,14410.0,1.441,duck
29882,Philippines,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,15000.0,1.5,"Meat of geese, fresh or chilled"
29885,Philippines,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,98.0,9.8,goat
29888,Philippines,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,577.0,57.7,pig
29891,Philippines,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,130.0,13.0,sheep
29894,Philippines,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,45000.0,4.5,"Meat of turkeys, fresh or chilled"
30147,Poland,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3020.0,302.0,cattle
30150,Poland,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,18595.0,1.8595,chicken
30153,Poland,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,22511.0,2.2511,duck
30156,Poland,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,232.0,23.2,goat
30159,Poland,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,932.0,93.2,pig
30162,Poland,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,173.0,17.3,sheep
30165,Poland,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,99862.0,9.9862,"Meat of turkeys, fresh or chilled"
